,n_estimators,max_features,random_state,n_features,accuracy,time
0,100.0,sqrt,8.0,1540.0,0.8152629450186312,10.326878547668457
1,100.0,sqrt,8.0,54.0,0.7122965844255312,5.022055149078369
2,100.0,1.0,8.0,1540.0,0.8899856285982289,56.20686411857605
3,100.0,1.0,8.0,54.0,0.8967754705128095,6.612630844116211
4,250.0,sqrt,8.0,1540.0,0.8143507482595114,15.046459674835205
5,250.0,sqrt,8.0,54.0,0.7145770763233307,16.597933292388916
6,250.0,1.0,8.0,1540.0,0.8904847551268039,137.88352823257446
7,250.0,1.0,8.0,54.0,0.8970938788155212,14.746327638626099
8,500.0,sqrt,8.0,1540.0,0.815710437768388,55.09551548957825
9,500.0,sqrt,8.0,54.0,0.711711401598926,20.17998743057251
10,500.0,1.0,8.0,1540.0,0.8903040369009406,278.7545804977417
11,500.0,1.0,8.0,54.0,0.8971971463731573,26.76724362373352
