,n_estimators,max_features,random_state,n_features,accuracy,time
0,100.0,sqrt,8.0,1540.0,0.9563780625285061,57.99017858505249
1,100.0,sqrt,8.0,54.0,0.953796373587601,11.688645839691162
2,100.0,1.0,8.0,1540.0,0.9670060153352323,925.05837059021
3,100.0,1.0,8.0,54.0,0.9682194091374577,39.949706077575684
4,250.0,sqrt,8.0,1540.0,0.9570923298021565,143.8857319355011
5,250.0,sqrt,8.0,54.0,0.9551732743560838,27.840553283691406
6,250.0,1.0,8.0,1540.0,0.9674621137147922,2296.461593389511
7,250.0,1.0,8.0,54.0,0.9684689724017452,98.58275628089905
8,500.0,sqrt,8.0,1540.0,0.9572300198790048,283.33987498283386
9,500.0,sqrt,8.0,54.0,0.9554228376203713,55.06251049041748
10,500.0,1.0,8.0,1540.0,0.9677116769790797,4581.99442076683
11,500.0,1.0,8.0,54.0,0.9686066624785935,210.05930376052856
